Restaurant,Category
Dominos Pizza,Recommended
Dominos Pizza,Big Big Pizza
Dominos Pizza,Cheese Burst - 3 New Flavours
Burger King,Recommended
Burger King,Burgers Wraps & More
Burger King,Sides & Snacks
KFC,Recommended
KFC,Chicken Burgers and Meals
KFC,Rolls
KFC,Hot & Crispy Chicken & Wings
KFC,Boneless Chicken Popcorn
Behrouz Biryani,Recommended
Behrouz Biryani,Signature Biryani
Anna's House of Dosa,Recommended
Anna's House of Dosa,Cheese Dosa
Anna's House of Dosa,Garlic & Cheese Dosa
Anna's House of Dosa,Idli & Vada
Anna's House of Dosa,Anna's Special Dosa
